
# ====================================
read_data       Output/data.2T-SiC_Modelled
Reading data file ...
  orthogonal box = (0 0 0) to (87.2 87.2 87.2)
  1 by 2 by 2 MPI processor grid
  reading atoms ...
  64000 atoms
  reading velocities ...
  64000 velocities
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.329 seconds
group           Center type 1 2
41089 atoms in group Center
group           Perim  type 3 4
22911 atoms in group Perim
# ====================================
pair_style      gw/zbl
pair_coeff      * *  potential/SiC.gw.zbl   C  Si   C   Si    C
Reading gw/zbl potential file potential/SiC.gw.zbl with DATE: 2016-05-06

# -- OR ---
# pair_style      tersoff/zbl
# pair_coeff      * *  potential/SiC.tersoff.zbl   C  Si   C   Si    C

# ====================================
velocity        all create 300 5287287
thermo_style    custom step temp epair press ke atoms time
thermo          50
thermo_modify   lost warn

######################################
# DUMP

dump            DUMP1 all custom 50 Output/dump-2T-SiC-GW-${trial}.lammpstrj id type xs ys zs x y z vx vy vz
dump            DUMP1 all custom 50 Output/dump-2T-SiC-GW-1.lammpstrj id type xs ys zs x y z vx vy vz
# dump            DUMP2 all yaml   50 Output/dump-2T-SiC-GW-${trial}.yaml id type x y z vx vy vz
# dump_modify     DUMP2 time yes units yes thermo yes

# -------------------------------------
fix             N1 all    npt temp 300 300 0.1 iso 0 0 0.1
run             4000
Neighbor list info ...
  update every 10 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 5
  ghost atom cutoff = 5
  binsize = 2.5, bins = 35 35 35
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair gw/zbl, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 19.12 | 19.12 | 19.12 Mbytes
   Step          Temp          E_pair         Press          KinEng        Atoms         Time     
      4000   296.49307     -407807.38      651.09155      2452.7449          64000   4            
      4050   300.59506     -407843.31      428.36785      2486.6786          64000   4.05         
      4100   302.28422     -407858.22      779.16065      2500.6522          64000   4.1          
      4150   302.49784     -407859.4       889.04439      2502.4195          64000   4.15         
      4200   302.51529     -407859.55      509.08413      2502.5638          64000   4.2          
      4250   298.33222     -407825.43      598.72687      2467.9593          64000   4.25         
      4300   299.76373     -407838.14      468.3592       2479.8015          64000   4.3          
      4350   301.82288     -407853.99      782.14377      2496.8358          64000   4.35         
      4400   301.54213     -407849.81      583.33223      2494.5133          64000   4.4          
      4450   301.77143     -407852.89      706.42632      2496.4102          64000   4.45         
      4500   297.84051     -407819.83      534.45948      2463.8916          64000   4.5          
      4550   299.43881     -407834.55      507.68116      2477.1135          64000   4.55         
      4600   302.04743     -407855.48      721.8043       2498.6934          64000   4.6          
      4650   302.15301     -407858.36      778.564        2499.5669          64000   4.65         
      4700   301.95368     -407855.13      791.08505      2497.9179          64000   4.7          
      4750   298.46898     -407826.33      475.17111      2469.0906          64000   4.75         
      4800   298.0526      -407825.91      589.00857      2465.6461          64000   4.8          
      4850   301.22783     -407852.95      548.99922      2491.9132          64000   4.85         
      4900   302.1157      -407858.53      742.94513      2499.2582          64000   4.9          
      4950   298.62701     -407829.69      592.33891      2470.3979          64000   4.95         
      5000   300.31799     -407844.38      609.40649      2484.3866          64000   5            
      5050   299.39012     -407834.83      583.56578      2476.7108          64000   5.05         
      5100   301.92585     -407855.72      728.39436      2497.6877          64000   5.1          
      5150   300.59195     -407843.41      660.91389      2486.6529          64000   5.15         
      5200   298.62993     -407828.26      657.46142      2470.4221          64000   5.2          
      5250   304.91561     -407880.02      830.64695      2522.4205          64000   5.25         
      5300   296.24738     -407806.96      427.24299      2450.7124          64000   5.3          
      5350   300.09465     -407839.06      686.6365       2482.539           64000   5.35         
      5400   304.48627     -407874.28      935.87325      2518.8688          64000   5.4          
      5450   298.80134     -407826.09      361.53452      2471.84            64000   5.45         
      5500   299.68087     -407832.17      499.37481      2479.116           64000   5.5          
      5550   300.77195     -407841.32      651.41036      2488.1419          64000   5.55         
      5600   301.88848     -407852.25      711.52297      2497.3785          64000   5.6          
      5650   300.41307     -407840.55      521.69264      2485.1732          64000   5.65         
      5700   301.7606      -407851.85      797.57266      2496.3206          64000   5.7          
      5750   301.88054     -407853.5       572.07297      2497.3128          64000   5.75         
      5800   299.95842     -407838.49      672.05476      2481.412           64000   5.8          
      5850   298.57296     -407828.62      585.46647      2469.9508          64000   5.85         
      5900   302.75307     -407865.12      801.12877      2504.5308          64000   5.9          
      5950   299.04537     -407834.25      601.34554      2473.8588          64000   5.95         
      6000   298.89774     -407834.16      548.23898      2472.6376          64000   6            
      6050   298.1338      -407828.8       607.54963      2466.3179          64000   6.05         
      6100   302.73468     -407866.25      716.11105      2504.3787          64000   6.1          
      6150   298.26045     -407828.04      709.02862      2467.3655          64000   6.15         
      6200   302.25327     -407863.91      632.91375      2500.3962          64000   6.2          
      6250   298.54089     -407832.59      616.09296      2469.6855          64000   6.25         
      6300   300.90152     -407852.76      729.77299      2489.2139          64000   6.3          
      6350   300.25683     -407848.13      484.81006      2483.8806          64000   6.35         
      6400   300.24469     -407846.67      811.77161      2483.7802          64000   6.4          
      6450   302.25016     -407864.43      613.70969      2500.3705          64000   6.45         
      6500   295.87738     -407810.27      572.77764      2447.6515          64000   6.5          
      6550   300.82348     -407851.11      550.95314      2488.5683          64000   6.55         
      6600   301.11577     -407851.06      759.80133      2490.9862          64000   6.6          
      6650   299.64119     -407840.94      617.92749      2478.7878          64000   6.65         
      6700   301.78075     -407856.28      724.24108      2496.4873          64000   6.7          
      6750   299.34411     -407834.43      545.22949      2476.3301          64000   6.75         
      6800   299.1059      -407836.08      727.34332      2474.3595          64000   6.8          
      6850   299.57896     -407839.11      455.98066      2478.273           64000   6.85         
      6900   301.6954      -407856.54      851.16651      2495.7813          64000   6.9          
      6950   299.58232     -407838.73      594.24997      2478.3007          64000   6.95         
      7000   301.73713     -407857.49      663.85593      2496.1264          64000   7            
      7050   300.86129     -407851.13      695.63931      2488.881           64000   7.05         
      7100   301.83641     -407856.97      772.76013      2496.9477          64000   7.1          
      7150   299.32637     -407835.55      437.95905      2476.1834          64000   7.15         
